SISTEMA -> CPU: 98.5% | RAM: 69.2% | Temp: 27.8°C | Tiempo: 00:23:55
SISTEMA -> CPU: 98.5% | RAM: 69.5% | Temp: 27.8°C | Tiempo: 00:24:15
SISTEMA -> CPU: 98.6% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 00:24:36
SISTEMA -> CPU: 98.5% | RAM: 69.2% | Temp: 27.8°C | Tiempo: 00:24:56
SISTEMA -> CPU: 98.5% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 00:25:16
SISTEMA -> CPU: 98.9% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 00:25:37
SISTEMA -> CPU: 98.5% | RAM: 68.8% | Temp: 27.8°C | Tiempo: 00:25:57
SISTEMA -> CPU: 98.5% | RAM: 68.5% | Temp: 27.8°C | Tiempo: 00:26:18
SISTEMA -> CPU: 98.5% | RAM: 68.2% | Temp: 27.8°C | Tiempo: 00:26:38
SISTEMA -> CPU: 98.6% | RAM: 69.5% | Temp: 27.8°C | Tiempo: 00:26:58
SISTEMA -> CPU: 98.6% | RAM: 68.3% | Temp: 27.8°C | Tiempo: 00:27:19
SISTEMA -> CPU: 98.5% | RAM: 68.7% | Temp: 27.8°C | Tiempo: 00:27:40
SISTEMA -> CPU: 98.5% | RAM: 69.2% | Temp: 27.8°C | Tiempo: 00:28:01
SISTEMA -> CPU: 98.5% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 00:28:21
SISTEMA -> CPU: 98.5% | RAM: 69.6% | Temp: 27.8°C | Tiempo: 00:28:42
SISTEMA -> CPU: 98.7% | RAM: 68.2% | Temp: 27.8°C | Tiempo: 00:29:02
SISTEMA -> CPU: 98.5% | RAM: 68.7% | Temp: 27.8°C | Tiempo: 00:29:22
SISTEMA -> CPU: 98.5% | RAM: 68.3% | Temp: 27.8°C | Tiempo: 00:29:42
SISTEMA -> CPU: 98.9% | RAM: 68.6% | Temp: 27.8°C | Tiempo: 00:30:02
SISTEMA -> CPU: 98.5% | RAM: 68.5% | Temp: 27.8°C | Tiempo: 00:30:23
SISTEMA -> CPU: 98.5% | RAM: 69.1% | Temp: 27.8°C | Tiempo: 00:30:44
SISTEMA -> CPU: 98.5% | RAM: 68.3% | Temp: 27.8°C | Tiempo: 00:31:04
SISTEMA -> CPU: 98.5% | RAM: 70.0% | Temp: 27.8°C | Tiempo: 00:31:25
SISTEMA -> CPU: 98.5% | RAM: 68.9% | Temp: 27.8°C | Tiempo: 00:31:45
SISTEMA -> CPU: 98.5% | RAM: 69.0% | Temp: 27.8°C | Tiempo: 00:32:06
SISTEMA -> CPU: 98.5% | RAM: 68.7% | Temp: 27.8°C | Tiempo: 00:32:26
SISTEMA -> CPU: 98.5% | RAM: 69.3% | Temp: 27.8°C | Tiempo: 00:32:47
SISTEMA -> CPU: 98.5% | RAM: 69.3% | Temp: 27.8°C | Tiempo: 00:33:06
SISTEMA -> CPU: 98.8% | RAM: 69.3% | Temp: 27.8°C | Tiempo: 00:33:27
SISTEMA -> CPU: 98.5% | RAM: 69.0% | Temp: 27.8°C | Tiempo: 00:33:47
SISTEMA -> CPU: 98.5% | RAM: 68.4% | Temp: 27.8°C | Tiempo: 00:34:08
SISTEMA -> CPU: 99.0% | RAM: 69.5% | Temp: 27.8°C | Tiempo: 00:34:28
SISTEMA -> CPU: 98.5% | RAM: 69.3% | Temp: 27.8°C | Tiempo: 00:34:48
SISTEMA -> CPU: 98.5% | RAM: 69.5% | Temp: 27.8°C | Tiempo: 00:35:09
SISTEMA -> CPU: 98.5% | RAM: 70.0% | Temp: 27.8°C | Tiempo: 00:35:29
