SISTEMA -> CPU: 78.9% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 00:06:45
SISTEMA -> CPU: 89.0% | RAM: 80.0% | Temp: 27.8°C | Tiempo: 00:12:40
SISTEMA -> CPU: 88.8% | RAM: 80.5% | Temp: 27.8°C | Tiempo: 00:18:30
SISTEMA -> CPU: 88.8% | RAM: 79.7% | Temp: 27.8°C | Tiempo: 00:24:21
SISTEMA -> CPU: 88.8% | RAM: 79.4% | Temp: 27.8°C | Tiempo: 00:30:12
SISTEMA -> CPU: 88.6% | RAM: 79.7% | Temp: 27.8°C | Tiempo: 00:36:00
SISTEMA -> CPU: 88.8% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 00:41:50
SISTEMA -> CPU: 88.7% | RAM: 80.0% | Temp: 27.8°C | Tiempo: 00:47:38
SISTEMA -> CPU: 90.2% | RAM: 79.5% | Temp: 27.8°C | Tiempo: 00:54:18
SISTEMA -> CPU: 88.7% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 01:00:07
SISTEMA -> CPU: 88.7% | RAM: 79.9% | Temp: 27.8°C | Tiempo: 01:05:56
SISTEMA -> CPU: 88.9% | RAM: 80.4% | Temp: 27.8°C | Tiempo: 01:11:49
SISTEMA -> CPU: 88.8% | RAM: 79.7% | Temp: 27.8°C | Tiempo: 01:17:40
SISTEMA -> CPU: 88.7% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 01:23:29
SISTEMA -> CPU: 88.8% | RAM: 80.6% | Temp: 27.8°C | Tiempo: 01:29:21
SISTEMA -> CPU: 88.8% | RAM: 79.4% | Temp: 27.8°C | Tiempo: 01:35:12
SISTEMA -> CPU: 88.7% | RAM: 79.6% | Temp: 27.8°C | Tiempo: 01:41:02
SISTEMA -> CPU: 88.6% | RAM: 79.8% | Temp: 27.8°C | Tiempo: 01:46:50
SISTEMA -> CPU: 88.7% | RAM: 79.9% | Temp: 27.8°C | Tiempo: 01:52:40
SISTEMA -> CPU: 88.7% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 01:58:30
SISTEMA -> CPU: 88.8% | RAM: 79.7% | Temp: 27.8°C | Tiempo: 02:04:21
SISTEMA -> CPU: 88.8% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 02:10:13
SISTEMA -> CPU: 88.7% | RAM: 79.8% | Temp: 27.8°C | Tiempo: 02:16:04
SISTEMA -> CPU: 88.7% | RAM: 80.5% | Temp: 27.8°C | Tiempo: 02:21:53
SISTEMA -> CPU: 88.7% | RAM: 80.0% | Temp: 27.8°C | Tiempo: 02:27:44
SISTEMA -> CPU: 88.7% | RAM: 79.6% | Temp: 27.8°C | Tiempo: 02:33:35
SISTEMA -> CPU: 88.7% | RAM: 79.8% | Temp: 27.8°C | Tiempo: 02:39:25
SISTEMA -> CPU: 88.7% | RAM: 79.9% | Temp: 27.8°C | Tiempo: 02:45:15
SISTEMA -> CPU: 88.7% | RAM: 79.8% | Temp: 27.8°C | Tiempo: 02:51:04
SISTEMA -> CPU: 88.8% | RAM: 80.4% | Temp: 27.8°C | Tiempo: 02:56:56
SISTEMA -> CPU: 88.7% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 03:02:46
SISTEMA -> CPU: 88.7% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 03:08:36
SISTEMA -> CPU: 88.8% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 03:14:28
SISTEMA -> CPU: 88.7% | RAM: 79.9% | Temp: 27.8°C | Tiempo: 03:20:18
SISTEMA -> CPU: 88.7% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 03:26:06
SISTEMA -> CPU: 88.7% | RAM: 80.8% | Temp: 27.8°C | Tiempo: 03:31:56
SISTEMA -> CPU: 88.7% | RAM: 80.4% | Temp: 27.8°C | Tiempo: 03:37:45
SISTEMA -> CPU: 88.7% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 03:43:36
SISTEMA -> CPU: 88.8% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 03:49:30
SISTEMA -> CPU: 88.7% | RAM: 80.0% | Temp: 27.8°C | Tiempo: 03:55:21
SISTEMA -> CPU: 88.7% | RAM: 80.0% | Temp: 27.8°C | Tiempo: 04:01:09
SISTEMA -> CPU: 88.7% | RAM: 80.4% | Temp: 27.8°C | Tiempo: 04:06:58
SISTEMA -> CPU: 88.8% | RAM: 80.5% | Temp: 27.8°C | Tiempo: 04:12:52
SISTEMA -> CPU: 88.8% | RAM: 80.5% | Temp: 27.8°C | Tiempo: 04:18:45
SISTEMA -> CPU: 88.8% | RAM: 80.1% | Temp: 27.8°C | Tiempo: 04:24:36
SISTEMA -> CPU: 88.8% | RAM: 79.9% | Temp: 27.8°C | Tiempo: 04:30:28
SISTEMA -> CPU: 88.7% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 04:36:18
SISTEMA -> CPU: 88.8% | RAM: 80.9% | Temp: 27.8°C | Tiempo: 04:42:09
SISTEMA -> CPU: 88.8% | RAM: 79.9% | Temp: 27.8°C | Tiempo: 04:48:01
SISTEMA -> CPU: 88.7% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 04:53:51
SISTEMA -> CPU: 88.7% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 04:59:41
SISTEMA -> CPU: 88.8% | RAM: 80.7% | Temp: 27.8°C | Tiempo: 05:05:32
SISTEMA -> CPU: 88.8% | RAM: 81.4% | Temp: 27.8°C | Tiempo: 05:11:23
SISTEMA -> CPU: 88.9% | RAM: 80.6% | Temp: 27.8°C | Tiempo: 05:17:17
SISTEMA -> CPU: 89.0% | RAM: 80.0% | Temp: 27.8°C | Tiempo: 05:23:15
SISTEMA -> CPU: 88.7% | RAM: 80.5% | Temp: 27.8°C | Tiempo: 05:29:06
SISTEMA -> CPU: 88.8% | RAM: 80.7% | Temp: 27.8°C | Tiempo: 05:34:58
SISTEMA -> CPU: 88.8% | RAM: 80.8% | Temp: 27.8°C | Tiempo: 05:40:50
SISTEMA -> CPU: 88.6% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 05:46:39
SISTEMA -> CPU: 88.8% | RAM: 80.7% | Temp: 27.8°C | Tiempo: 05:52:30
SISTEMA -> CPU: 88.7% | RAM: 80.0% | Temp: 27.8°C | Tiempo: 05:58:21
SISTEMA -> CPU: 88.7% | RAM: 79.9% | Temp: 27.8°C | Tiempo: 06:04:10
SISTEMA -> CPU: 88.8% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 06:10:00
SISTEMA -> CPU: 88.8% | RAM: 80.4% | Temp: 27.8°C | Tiempo: 06:15:52
SISTEMA -> CPU: 88.7% | RAM: 81.2% | Temp: 27.8°C | Tiempo: 06:21:42
SISTEMA -> CPU: 88.7% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 06:27:31
SISTEMA -> CPU: 88.7% | RAM: 80.8% | Temp: 27.8°C | Tiempo: 06:33:20
SISTEMA -> CPU: 88.7% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 06:39:10
SISTEMA -> CPU: 88.7% | RAM: 80.4% | Temp: 27.8°C | Tiempo: 06:44:59
SISTEMA -> CPU: 88.7% | RAM: 79.8% | Temp: 27.8°C | Tiempo: 06:50:50
SISTEMA -> CPU: 88.7% | RAM: 80.1% | Temp: 27.8°C | Tiempo: 06:56:39
SISTEMA -> CPU: 88.7% | RAM: 81.0% | Temp: 27.8°C | Tiempo: 07:02:29
SISTEMA -> CPU: 88.7% | RAM: 80.1% | Temp: 27.8°C | Tiempo: 07:08:19
SISTEMA -> CPU: 88.8% | RAM: 80.8% | Temp: 27.8°C | Tiempo: 07:14:12
SISTEMA -> CPU: 88.7% | RAM: 80.6% | Temp: 27.8°C | Tiempo: 07:20:01
SISTEMA -> CPU: 88.6% | RAM: 81.2% | Temp: 27.8°C | Tiempo: 07:25:50
SISTEMA -> CPU: 88.7% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 07:31:40
SISTEMA -> CPU: 88.7% | RAM: 80.6% | Temp: 27.8°C | Tiempo: 07:37:31
SISTEMA -> CPU: 88.7% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 07:43:20
SISTEMA -> CPU: 88.7% | RAM: 80.3% | Temp: 27.8°C | Tiempo: 07:49:09
SISTEMA -> CPU: 88.7% | RAM: 80.0% | Temp: 27.8°C | Tiempo: 07:54:58
SISTEMA -> CPU: 88.7% | RAM: 80.4% | Temp: 27.8°C | Tiempo: 08:00:50
SISTEMA -> CPU: 88.8% | RAM: 80.6% | Temp: 27.8°C | Tiempo: 08:06:41
SISTEMA -> CPU: 88.8% | RAM: 80.1% | Temp: 27.8°C | Tiempo: 08:12:32
SISTEMA -> CPU: 88.8% | RAM: 81.1% | Temp: 27.8°C | Tiempo: 08:18:24
SISTEMA -> CPU: 88.8% | RAM: 81.2% | Temp: 27.8°C | Tiempo: 08:24:17
SISTEMA -> CPU: 88.7% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 08:30:08
SISTEMA -> CPU: 88.7% | RAM: 80.8% | Temp: 27.8°C | Tiempo: 08:35:57
SISTEMA -> CPU: 88.6% | RAM: 80.1% | Temp: 27.8°C | Tiempo: 08:41:45
SISTEMA -> CPU: 88.7% | RAM: 81.4% | Temp: 27.8°C | Tiempo: 08:47:35
SISTEMA -> CPU: 88.7% | RAM: 80.8% | Temp: 27.8°C | Tiempo: 08:53:25
SISTEMA -> CPU: 88.7% | RAM: 79.9% | Temp: 27.8°C | Tiempo: 08:59:15
SISTEMA -> CPU: 88.7% | RAM: 80.9% | Temp: 27.8°C | Tiempo: 09:05:04
SISTEMA -> CPU: 88.7% | RAM: 81.2% | Temp: 27.8°C | Tiempo: 09:10:54
SISTEMA -> CPU: 88.8% | RAM: 81.3% | Temp: 27.8°C | Tiempo: 09:16:47
SISTEMA -> CPU: 88.7% | RAM: 80.8% | Temp: 27.8°C | Tiempo: 09:22:37
SISTEMA -> CPU: 88.8% | RAM: 81.2% | Temp: 27.8°C | Tiempo: 09:28:30
SISTEMA -> CPU: 88.8% | RAM: 80.2% | Temp: 27.8°C | Tiempo: 09:34:23
SISTEMA -> CPU: 88.7% | RAM: 80.1% | Temp: 27.8°C | Tiempo: 09:40:11
SISTEMA -> CPU: 88.7% | RAM: 80.1% | Temp: 27.8°C | Tiempo: 09:45:59
