SISTEMA -> CPU: 75.7% | RAM: 78.3% | Temp: 27.8°C | Tiempo: 00:06:02
SISTEMA -> CPU: 87.1% | RAM: 78.1% | Temp: 27.8°C | Tiempo: 00:11:02
SISTEMA -> CPU: 87.1% | RAM: 78.3% | Temp: 27.8°C | Tiempo: 00:16:02
SISTEMA -> CPU: 87.1% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 00:21:02
SISTEMA -> CPU: 87.2% | RAM: 78.3% | Temp: 27.8°C | Tiempo: 00:26:04
SISTEMA -> CPU: 87.2% | RAM: 78.0% | Temp: 27.8°C | Tiempo: 00:31:06
SISTEMA -> CPU: 87.1% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 00:36:09
SISTEMA -> CPU: 87.2% | RAM: 79.1% | Temp: 27.8°C | Tiempo: 00:41:10
SISTEMA -> CPU: 87.2% | RAM: 79.1% | Temp: 27.8°C | Tiempo: 00:46:13
SISTEMA -> CPU: 87.2% | RAM: 78.3% | Temp: 27.8°C | Tiempo: 00:51:15
SISTEMA -> CPU: 87.1% | RAM: 78.1% | Temp: 27.8°C | Tiempo: 00:56:17
SISTEMA -> CPU: 87.0% | RAM: 78.1% | Temp: 27.8°C | Tiempo: 01:01:17
SISTEMA -> CPU: 87.0% | RAM: 78.3% | Temp: 27.8°C | Tiempo: 01:06:17
SISTEMA -> CPU: 86.9% | RAM: 78.2% | Temp: 27.8°C | Tiempo: 01:11:15
SISTEMA -> CPU: 87.1% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 01:16:15
SISTEMA -> CPU: 86.9% | RAM: 78.5% | Temp: 27.8°C | Tiempo: 01:21:14
SISTEMA -> CPU: 87.1% | RAM: 78.6% | Temp: 27.8°C | Tiempo: 01:26:16
SISTEMA -> CPU: 87.1% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 01:31:18
SISTEMA -> CPU: 87.2% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 01:36:21
SISTEMA -> CPU: 87.0% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 01:41:22
SISTEMA -> CPU: 87.2% | RAM: 79.3% | Temp: 27.8°C | Tiempo: 01:46:24
SISTEMA -> CPU: 87.1% | RAM: 79.4% | Temp: 27.8°C | Tiempo: 01:51:24
SISTEMA -> CPU: 87.1% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 01:56:25
SISTEMA -> CPU: 87.1% | RAM: 78.9% | Temp: 27.8°C | Tiempo: 02:01:26
SISTEMA -> CPU: 87.1% | RAM: 78.9% | Temp: 27.8°C | Tiempo: 02:06:29
SISTEMA -> CPU: 87.1% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 02:11:32
SISTEMA -> CPU: 87.0% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 02:16:32
SISTEMA -> CPU: 87.1% | RAM: 78.6% | Temp: 27.8°C | Tiempo: 02:21:33
SISTEMA -> CPU: 87.0% | RAM: 78.9% | Temp: 27.8°C | Tiempo: 02:26:32
SISTEMA -> CPU: 87.1% | RAM: 78.4% | Temp: 27.8°C | Tiempo: 02:31:34
SISTEMA -> CPU: 87.4% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 02:36:42
SISTEMA -> CPU: 87.2% | RAM: 78.6% | Temp: 27.8°C | Tiempo: 02:41:45
SISTEMA -> CPU: 87.3% | RAM: 79.1% | Temp: 27.8°C | Tiempo: 02:46:51
SISTEMA -> CPU: 87.2% | RAM: 78.8% | Temp: 27.8°C | Tiempo: 02:51:54
SISTEMA -> CPU: 87.2% | RAM: 79.5% | Temp: 27.8°C | Tiempo: 02:56:58
SISTEMA -> CPU: 87.1% | RAM: 78.5% | Temp: 27.8°C | Tiempo: 03:01:59
SISTEMA -> CPU: 87.2% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 03:07:03
SISTEMA -> CPU: 87.2% | RAM: 79.5% | Temp: 27.8°C | Tiempo: 03:12:07
SISTEMA -> CPU: 86.8% | RAM: 78.6% | Temp: 27.8°C | Tiempo: 03:17:01
SISTEMA -> CPU: 87.1% | RAM: 79.3% | Temp: 27.8°C | Tiempo: 03:22:03
SISTEMA -> CPU: 87.0% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 03:27:02
SISTEMA -> CPU: 87.4% | RAM: 78.5% | Temp: 27.8°C | Tiempo: 03:32:08
SISTEMA -> CPU: 87.2% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 03:37:11
SISTEMA -> CPU: 87.1% | RAM: 78.5% | Temp: 27.8°C | Tiempo: 03:42:13
SISTEMA -> CPU: 87.1% | RAM: 78.6% | Temp: 27.8°C | Tiempo: 03:47:14
SISTEMA -> CPU: 87.1% | RAM: 79.1% | Temp: 27.8°C | Tiempo: 03:52:15
SISTEMA -> CPU: 87.1% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 03:57:16
SISTEMA -> CPU: 87.1% | RAM: 79.1% | Temp: 27.8°C | Tiempo: 04:02:16
SISTEMA -> CPU: 87.0% | RAM: 79.4% | Temp: 27.8°C | Tiempo: 04:07:16
SISTEMA -> CPU: 87.2% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 04:12:21
SISTEMA -> CPU: 87.2% | RAM: 79.8% | Temp: 27.8°C | Tiempo: 04:17:25
SISTEMA -> CPU: 87.1% | RAM: 79.0% | Temp: 27.8°C | Tiempo: 04:22:26
SISTEMA -> CPU: 87.0% | RAM: 78.7% | Temp: 27.8°C | Tiempo: 04:27:27
SISTEMA -> CPU: 87.1% | RAM: 79.2% | Temp: 27.8°C | Tiempo: 04:32:28
SISTEMA -> CPU: 87.1% | RAM: 79.5% | Temp: 27.8°C | Tiempo: 04:37:29
SISTEMA -> CPU: 87.1% | RAM: 79.5% | Temp: 27.8°C | Tiempo: 04:42:31
SISTEMA -> CPU: 87.0% | RAM: 79.4% | Temp: 27.8°C | Tiempo: 04:47:31
