SISTEMA -> CPU: 88.4% | RAM: 77.8% | Temp: 27.8°C | Tiempo: 05:57:19
SISTEMA -> CPU: 88.6% | RAM: 78.0% | Temp: 27.8°C | Tiempo: 06:03:04
SISTEMA -> CPU: 88.4% | RAM: 77.4% | Temp: 27.8°C | Tiempo: 06:08:47
SISTEMA -> CPU: 88.5% | RAM: 77.6% | Temp: 27.8°C | Tiempo: 06:14:32
SISTEMA -> CPU: 88.6% | RAM: 78.4% | Temp: 27.8°C | Tiempo: 06:20:18
SISTEMA -> CPU: 88.5% | RAM: 78.1% | Temp: 27.8°C | Tiempo: 06:26:03
SISTEMA -> CPU: 88.7% | RAM: 78.5% | Temp: 27.8°C | Tiempo: 06:31:54
SISTEMA -> CPU: 88.6% | RAM: 78.5% | Temp: 27.8°C | Tiempo: 06:37:39
SISTEMA -> CPU: 88.6% | RAM: 78.0% | Temp: 27.8°C | Tiempo: 06:43:26
SISTEMA -> CPU: 88.6% | RAM: 78.5% | Temp: 27.8°C | Tiempo: 06:49:12
SISTEMA -> CPU: 88.5% | RAM: 77.9% | Temp: 27.8°C | Tiempo: 06:54:56
SISTEMA -> CPU: 88.5% | RAM: 78.6% | Temp: 27.8°C | Tiempo: 07:00:42
SISTEMA -> CPU: 88.3% | RAM: 78.2% | Temp: 27.8°C | Tiempo: 07:06:27
SISTEMA -> CPU: 88.5% | RAM: 78.4% | Temp: 27.8°C | Tiempo: 07:12:11
SISTEMA -> CPU: 88.6% | RAM: 78.2% | Temp: 27.8°C | Tiempo: 07:17:58
SISTEMA -> CPU: 88.7% | RAM: 78.0% | Temp: 27.8°C | Tiempo: 07:23:48
SISTEMA -> CPU: 88.6% | RAM: 77.7% | Temp: 27.8°C | Tiempo: 07:29:35
SISTEMA -> CPU: 88.6% | RAM: 79.4% | Temp: 27.8°C | Tiempo: 07:35:21
SISTEMA -> CPU: 89.1% | RAM: 81.0% | Temp: 27.8°C | Tiempo: 07:41:23
SISTEMA -> CPU: 89.3% | RAM: 86.4% | Temp: 27.8°C | Tiempo: 07:47:31
SISTEMA -> CPU: 88.5% | RAM: 86.4% | Temp: 27.8°C | Tiempo: 07:53:13
SISTEMA -> CPU: 88.5% | RAM: 87.6% | Temp: 27.8°C | Tiempo: 07:58:57
SISTEMA -> CPU: 89.9% | RAM: 80.8% | Temp: 27.8°C | Tiempo: 08:05:24
SISTEMA -> CPU: 89.8% | RAM: 80.9% | Temp: 27.8°C | Tiempo: 08:11:52
SISTEMA -> CPU: 89.8% | RAM: 81.8% | Temp: 27.8°C | Tiempo: 08:18:19
SISTEMA -> CPU: 89.6% | RAM: 81.1% | Temp: 27.8°C | Tiempo: 08:24:43
SISTEMA -> CPU: 89.5% | RAM: 81.2% | Temp: 27.8°C | Tiempo: 08:31:08
SISTEMA -> CPU: 89.6% | RAM: 81.2% | Temp: 27.8°C | Tiempo: 08:37:31
SISTEMA -> CPU: 89.7% | RAM: 80.5% | Temp: 27.8°C | Tiempo: 08:43:56
SISTEMA -> CPU: 89.6% | RAM: 80.6% | Temp: 27.8°C | Tiempo: 08:50:19
SISTEMA -> CPU: 89.6% | RAM: 80.8% | Temp: 27.8°C | Tiempo: 08:56:43
SISTEMA -> CPU: 89.7% | RAM: 81.5% | Temp: 27.8°C | Tiempo: 09:03:06
SISTEMA -> CPU: 89.6% | RAM: 81.2% | Temp: 27.8°C | Tiempo: 09:09:30
SISTEMA -> CPU: 89.7% | RAM: 81.1% | Temp: 27.8°C | Tiempo: 09:15:54
SISTEMA -> CPU: 89.7% | RAM: 81.5% | Temp: 27.8°C | Tiempo: 09:22:19
SISTEMA -> CPU: 89.4% | RAM: 81.2% | Temp: 27.8°C | Tiempo: 09:28:37
SISTEMA -> CPU: 89.7% | RAM: 81.2% | Temp: 27.8°C | Tiempo: 09:35:03
SISTEMA -> CPU: 89.7% | RAM: 80.8% | Temp: 27.8°C | Tiempo: 09:41:29
SISTEMA -> CPU: 89.7% | RAM: 80.9% | Temp: 27.8°C | Tiempo: 09:47:57
