SISTEMA -> CPU: 97.6% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:14:57
SISTEMA -> CPU: 98.2% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:15:12
SISTEMA -> CPU: 98.2% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:15:26
SISTEMA -> CPU: 98.2% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:15:41
SISTEMA -> CPU: 98.2% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:15:55
SISTEMA -> CPU: 98.2% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:16:09
SISTEMA -> CPU: 98.2% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:16:24
SISTEMA -> CPU: 98.2% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:16:38
SISTEMA -> CPU: 98.2% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 00:16:52
SISTEMA -> CPU: 97.6% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:17:07
SISTEMA -> CPU: 98.3% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 00:17:21
SISTEMA -> CPU: 98.2% | RAM: 38.0% | Temp: 27.8°C | Tiempo: 00:17:36
SISTEMA -> CPU: 98.2% | RAM: 38.2% | Temp: 27.8°C | Tiempo: 00:17:50
SISTEMA -> CPU: 98.2% | RAM: 38.6% | Temp: 27.8°C | Tiempo: 00:18:04
SISTEMA -> CPU: 98.2% | RAM: 38.2% | Temp: 27.8°C | Tiempo: 00:18:19
SISTEMA -> CPU: 98.2% | RAM: 38.8% | Temp: 27.8°C | Tiempo: 00:18:33
SISTEMA -> CPU: 98.2% | RAM: 38.2% | Temp: 27.8°C | Tiempo: 00:18:47
SISTEMA -> CPU: 98.2% | RAM: 38.3% | Temp: 27.8°C | Tiempo: 00:19:02
SISTEMA -> CPU: 98.2% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:19:16
SISTEMA -> CPU: 97.6% | RAM: 38.2% | Temp: 27.8°C | Tiempo: 00:19:31
SISTEMA -> CPU: 98.2% | RAM: 38.0% | Temp: 27.8°C | Tiempo: 00:19:45
SISTEMA -> CPU: 98.2% | RAM: 38.0% | Temp: 27.8°C | Tiempo: 00:20:00
SISTEMA -> CPU: 98.2% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:20:14
