SISTEMA -> CPU: 90.5% | RAM: 38.8% | Temp: 27.8°C | Tiempo: 00:00:40
SISTEMA -> CPU: 99.1% | RAM: 38.8% | Temp: 27.8°C | Tiempo: 00:01:19
SISTEMA -> CPU: 99.0% | RAM: 38.9% | Temp: 27.8°C | Tiempo: 00:01:56
SISTEMA -> CPU: 98.7% | RAM: 38.3% | Temp: 27.8°C | Tiempo: 00:02:35
SISTEMA -> CPU: 99.0% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:03:12
SISTEMA -> CPU: 98.9% | RAM: 39.3% | Temp: 27.8°C | Tiempo: 00:03:50
SISTEMA -> CPU: 99.0% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:04:28
SISTEMA -> CPU: 99.1% | RAM: 38.9% | Temp: 27.8°C | Tiempo: 00:05:06
SISTEMA -> CPU: 99.0% | RAM: 39.3% | Temp: 27.8°C | Tiempo: 00:05:44
SISTEMA -> CPU: 99.0% | RAM: 39.3% | Temp: 27.8°C | Tiempo: 00:06:22
SISTEMA -> CPU: 99.0% | RAM: 39.5% | Temp: 27.8°C | Tiempo: 00:06:59
SISTEMA -> CPU: 99.0% | RAM: 39.0% | Temp: 27.8°C | Tiempo: 00:07:38
SISTEMA -> CPU: 98.9% | RAM: 39.5% | Temp: 27.8°C | Tiempo: 00:08:22
SISTEMA -> CPU: 99.0% | RAM: 39.2% | Temp: 27.8°C | Tiempo: 00:09:00
SISTEMA -> CPU: 99.0% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:09:38
SISTEMA -> CPU: 99.0% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:10:15
SISTEMA -> CPU: 99.0% | RAM: 39.5% | Temp: 27.8°C | Tiempo: 00:10:54
SISTEMA -> CPU: 99.0% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:11:32
SISTEMA -> CPU: 99.0% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:12:10
SISTEMA -> CPU: 99.0% | RAM: 39.3% | Temp: 27.8°C | Tiempo: 00:12:48
SISTEMA -> CPU: 99.0% | RAM: 39.4% | Temp: 27.8°C | Tiempo: 00:13:26
SISTEMA -> CPU: 98.8% | RAM: 39.3% | Temp: 27.8°C | Tiempo: 00:14:04
SISTEMA -> CPU: 98.7% | RAM: 39.0% | Temp: 27.8°C | Tiempo: 00:14:42
SISTEMA -> CPU: 98.9% | RAM: 39.1% | Temp: 27.8°C | Tiempo: 00:15:20
