SISTEMA -> CPU: 97.8% | RAM: 38.3% | Temp: 27.8°C | Tiempo: 00:12:42
SISTEMA -> CPU: 97.7% | RAM: 38.2% | Temp: 27.8°C | Tiempo: 00:12:54
SISTEMA -> CPU: 97.8% | RAM: 39.0% | Temp: 27.8°C | Tiempo: 00:13:06
SISTEMA -> CPU: 97.7% | RAM: 39.0% | Temp: 27.8°C | Tiempo: 00:13:18
SISTEMA -> CPU: 97.7% | RAM: 38.3% | Temp: 27.8°C | Tiempo: 00:13:30
SISTEMA -> CPU: 98.5% | RAM: 38.2% | Temp: 27.8°C | Tiempo: 00:13:43
SISTEMA -> CPU: 97.8% | RAM: 38.4% | Temp: 27.8°C | Tiempo: 00:13:55
SISTEMA -> CPU: 97.8% | RAM: 38.0% | Temp: 27.8°C | Tiempo: 00:14:08
SISTEMA -> CPU: 97.7% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:14:19
SISTEMA -> CPU: 97.8% | RAM: 37.5% | Temp: 27.8°C | Tiempo: 00:14:32
SISTEMA -> CPU: 97.7% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:14:44
SISTEMA -> CPU: 97.9% | RAM: 38.4% | Temp: 27.8°C | Tiempo: 00:14:57
SISTEMA -> CPU: 97.8% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:15:09
SISTEMA -> CPU: 97.7% | RAM: 38.5% | Temp: 27.8°C | Tiempo: 00:15:20
SISTEMA -> CPU: 97.6% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:15:31
SISTEMA -> CPU: 97.6% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:15:43
SISTEMA -> CPU: 97.7% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:15:54
SISTEMA -> CPU: 97.8% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:16:07
SISTEMA -> CPU: 97.6% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:16:18
SISTEMA -> CPU: 98.4% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:16:29
SISTEMA -> CPU: 97.6% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:16:40
SISTEMA -> CPU: 97.7% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:16:52
SISTEMA -> CPU: 97.7% | RAM: 38.1% | Temp: 27.8°C | Tiempo: 00:17:04
SISTEMA -> CPU: 97.6% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:17:16
SISTEMA -> CPU: 97.7% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:17:27
SISTEMA -> CPU: 97.7% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:17:39
SISTEMA -> CPU: 97.6% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:17:50
SISTEMA -> CPU: 97.7% | RAM: 37.8% | Temp: 27.8°C | Tiempo: 00:18:03
SISTEMA -> CPU: 97.7% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:18:15
SISTEMA -> CPU: 97.6% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:18:26
SISTEMA -> CPU: 97.6% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:18:37
SISTEMA -> CPU: 97.5% | RAM: 37.7% | Temp: 27.8°C | Tiempo: 00:18:48
SISTEMA -> CPU: 98.4% | RAM: 38.3% | Temp: 27.8°C | Tiempo: 00:18:59
SISTEMA -> CPU: 97.8% | RAM: 37.6% | Temp: 27.8°C | Tiempo: 00:19:12
SISTEMA -> CPU: 97.8% | RAM: 37.9% | Temp: 27.8°C | Tiempo: 00:19:24
